,title,author,genres,description,title_gs,img,sentiment_BERT
39,Half Baked Harvest Super Simple,Tieghan Gerard,Cooking,"NEW YORK TIMES BESTSELLER • There’s something for everyone in these 125 easy, show-stopping recipes: fewer ingredients, foolproof meal-prepping, effortless entertaining, and everything in between, including vegan and vegetarian options! NAMED ONE OF THE BEST COOKBOOKS OF THE YEAR BY BUZZFEED AND FOOD NETWORK “Those indulgent, comfort food-esque dishes [Tieghan is] known for aren’t going anywhere. . . . You’ll be hard-pressed to decide which one to make first.”—Food & Wine We all want to make and serve our loved ones beautiful food—but we shouldn’t have to work so hard to do it. With Half Baked Harvest Super Simple, Tieghan Gerard has solved that problem. On her blog and in her debut cookbook, Tieghan is beloved for her freshly sourced, comfort-food-forward recipes that taste even better than they look. Half Baked Harvest Super Simple takes what fans loved most about Half Baked Harvest Cookbook and distills it into quicker, more manageable dishes, including options for one-pot meals, night-before meal prep, and even some Instant Pot® or slow cooker recipes. Using the most important cooking basics, you’ll whip up everyday dishes like Cardamom Apple Fritters, Spinach and Artichoke Mac and Cheese, and Lobster Tacos to share with your family, or plan stress-free dinner parties with options like Slow Roasted Moroccan Salmon and Fresh Corn and Zucchini Summer Lasagna. Especially for home cooks who are pressed for time or just starting out, Half Baked Harvest Super Simple is your go-to for hassle-free meals that never sacrifice taste.",Half+Baked+Harvest+Super+Simple,http://books.google.com/books/content?id=WUCzDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
40,The Simply Happy Cookbook,Steve Doocy,Cooking,"NEW YORK TIMES BESTSELLER #1 New York Times bestselling authors Fox & Friends cohost Steve Doocy and his wife, Kathy, share more delightful stories and delicious recipes that are simple and stress-free. What’s better than serving your family food they rave about? Keeping it simple, of course! Sure, there are times when you want to spend all day noodling around in the kitchen, but most days we want more oomph with less effort. In The Simply Happy Cookbook, Steve Doocy and his wife, Kathy, provide more than a hundred recipes for their favorite dishes that are just as comforting to make as they are to eat—using fewer ingredients, simpler preparations, and less time in the kitchen. Just as in their previous two cookbooks, they share family photos and stories along with their recipes, so the time and energy saved in the kitchen can be put toward what’s important—reading charming and funny stories about their family and (sometimes famous) friends. The Doocys offer recipes for every occasion, including appetizers, breakfast, sandwiches, sides, casseroles, slow cooker meals, pasta, pizza, and desserts, so you’re covered no matter what you’re looking to make. Some of their low-effort, all-American comfort dishes include: Maple Bacon Cinnamon Rolls Lasagna Grilled Cheese Sandwich Buffalo Chicken Pot Pie Single Skilled Shrimp and Cheesy Grits Bacon and Burst Tomato Tortellini Pretzel Crust Chocolate Peanut Butter Pie Perfect for low-stress solo dinner prep, or for luring the cooking-averse into the kitchen to create happy memories around more than just the dinner table, The Simply Happy Cookbook is sure to please.",The+Simply+Happy+Cookbook,http://books.google.com/books/content?id=gqFUEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
41,The Stories We Tell,Mike Cosper,Religion,"The average American watches 5 hours of TV every day. Collectively, we spend roughly $30 billion on movies each year. Simply put, we’re entertainment junkies. But can we learn something from our insatiable addiction to stories? Mike Cosper thinks so. From horror flicks to rom-coms, the tales we tell and the myths we weave inevitably echo the narrative underlying all of history: the story of humanity’s tragic sin and God’s triumphant salvation. This entertaining book connects the dots between the stories we tell and the one, great Story—helping us better understand the longings of the human heart and thoughtfully engage with the movies and TV shows that capture our imaginations.",The+Stories+We+Tell,http://books.google.com/books/content?id=Qt8mBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
42,Smitten Kitchen Keepers,Deb Perelman,Cooking,"NEW YORK TIMES BEST SELLER • A BON APPETIT and EPICURIOUS BEST BOOK OF THE YEAR • The long-awaited new book from the best-selling and beloved author of The Smitten Kitchen Cookbook and Smitten Kitchen Every Day—a collection of essential recipes for meals you'll want to prepare again and again, from Cozy Chicken and Dumplings to Fettuccine with White Ragú, and from Chocolate Peanut Butter Cup Cookies to Strawberry Summer Stack Cake. Deb Perelman is the author of two best-selling cookbooks; one of the internet's most successful food bloggers; the creator of a homegrown brand with more than a million Instagram followers; and the self-taught cook with the tiny kitchen who obsessively tests her recipes to make sure that no bowls are wasted and that the results are always worth the effort. Here, in her third book, Smitten Kitchen Keepers: New Classics for Your Forever Files, Perelman gives us 100 recipes (including a few favorites from her site) that aim to make shopping easier, preparation more practical and enjoyable, and food more reliably delicious for the home cook. What's a keeper? a full-crunch cucumber salad you'll want to make over and over again for lunch a tomato and corn cobbler that tastes like summer sunshine an epic deep-dish broccoli cheddar quiche that even quiche skeptics love a slow-roasted chicken on a bed of unapologetically schmaltzy croutons a butterscotched apple crisp that will ruin you for all others perfect spaghetti and meatballs, better than ever Deb's ultimate pound cake, one to redeem all the sleepy ones you've eaten over the years These are the fail-safe, satisfying recipes you’ll rely on for years to come—from Perelman’s forever files to yours.",Smitten+Kitchen+Keepers,http://books.google.com/books/content?id=VudaEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
43,The Complete Cookbook for Young Chefs,America's Test Kitchen Kids,Juvenile Nonfiction,"The #1 New York Times Best Seller! IACP Award Winner Want to bake the most-awesome-ever cupcakes? Or surprise your family with breakfast tacos on Sunday morning? Looking for a quick snack after school? Or maybe something special for a sleepover? It's all here. Learn to cook like a pro—it's easier than you think. For the first time ever, America's Test Kitchen is bringing their scientific know-how, rigorous testing, and hands-on learning to KIDS in the kitchen! Using kid-tested and approved recipes, America's Test Kitchen has created THE cookbook every kid chef needs on their shelf. Whether you're cooking for yourself, your friends, or your family, The Complete Cookbook for Young Chefs has delicious recipes that will wow! Recipes were thoroughly tested by more than 750 kids to get them just right for cooks of all skill levels—including recipes for breakfast, snacks and beverages, dinners, desserts, and more. Step-by-step photos of tips and techniques will help young chefs feel like pros in their own kitchen Testimonials (and even some product reviews!) from kid test cooks who worked alongside America's Test Kitchen will encourage young chefs that they truly are learning the best recipes from the best cooks. By empowering young chefs to make their own choices in the kitchen, America's Test Kitchen is building a new generation of confident cooks, engaged eaters, and curious experimenters.",The+Complete+Cookbook+for+Young+Chefs,http://books.google.com/books/content?id=AQb9DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
44,The Christmas Pig,J. K. Rowling,Juvenile Fiction,"A heartwarming, page-turning adventure about one child's love for his most treasured thing, and how far he will go to find it. A tale for the whole family to fall in love with, from one of the world’s greatest storytellers. One boy and his toy are about to change everything... Jack loves his childhood toy, Dur Pig. DP has always been there for him, through good and bad. Until one Christmas Eve something terrible happens -- DP is lost. But Christmas Eve is a night for miracles and lost causes, a night when all things can come to life... even toys. And Jack’s newest toy -- the Christmas Pig (DP’s replacement) – has a daring plan: Together they’ll embark on a magical journey to seek something lost, and to save the best friend Jack has ever known...",The+Christmas+Pig,http://books.google.com/books/content?id=UwYpEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
45,The Complete Baking Book for Young Chefs,America's Test Kitchen Kids,Juvenile Nonfiction,"A New York Times Bestseller! From the creators of the #1 New York Times bestselling cookbook for kids comes the ultimate baking book. America's Test Kitchen once again brings their scientific know-how, rigorous testing, and hands-on learning to KIDS! BAKING ISN'T JUST FOR CUPCAKES Want to make your own soft pretzels? Or wow your friends with homemade empanadas? What about creating a showstopping pie? Maybe some chewy brownies after school? From breakfast to breads, from cookies to cakes (yes, even cupcakes!), learn to bake it all here. You can do this, and it's fun! Recipes were thoroughly tested by more than 5,000 kids to get them just right for cooks of all skill levels—including recipes for breakfast, breads, pizzas, cookies, cupcakes, and more Step-by-step photos of tips and techniques will help young chefs feel like pros in their own kitchen Testimonials (and even some product reviews!) from kid test cooks who worked alongside America's Test Kitchen test cooks will encourage young chefs that they truly are learning the best recipes from the best cooks. By empowering young chefs to make their own choices in the kitchen, America's Test Kitchen is building a new generation of confident cooks, engaged eaters, and curious experimenters.",The+Complete+Baking+Book+for+Young+Chefs,http://books.google.com/books/content?id=9QX9DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
46,The Official Harry Potter Baking Book,Joanna Farrow,Juvenile Fiction,"#1 NEW YORK TIMES BESTSELLER! Bake your way through Hogwarts School of Witchcraft and Wizardry! Inspired by the films, this is the ONE and ONLY official Harry Potter cookbook! Packed with over 40 recipes and gorgeous, eye-catching photography, this baking cookbook is a must-have for every Harry Potter fan. Delight in 43 tasty recipes inspired by the Harry Potter films! From Pumpkin Patch Pies to Owl Muffins, Luna's Spectrespecs Cookies to Hogwarts Gingerbread, The Official Harry Potter Baking Cookbook is packed with mouthwatering recipes that will, dare we say, ... ensnare the senses. Host a Great Hall-inspired feast for your friends or delight in a portion for one. Includes recipes for all kinds of delicious baked goods, as well as nutritional and dietary information. This baking cookbook is great for everyone and includes gluten-free, vegetarian, and vegan recipes as well!",The+Official+Harry+Potter+Baking+Book,http://books.google.com/books/content?id=u4UxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
47,Odder,Katherine Applegate,Juvenile Fiction,"Now a #1 New York Times bestseller! A touching and lyrical tale about a remarkable sea otter, from Newbery Medalist Katherine Applegate, author of Wishtree. Meet Odder, the Queen of Play: Nobody has her moves. She doesn’t just swim to the bottom, she dive-bombs. She doesn’t just somersault, she triple-doughnuts. She doesn’t just ride the waves, she makes them. Odder spends her days off the coast of central California, practicing her underwater acrobatics and spinning the quirky stories for which she’s known. She’s a fearless daredevil, curious to a fault. But when Odder comes face-to-face with a hungry great white shark, her life takes a dramatic turn, one that will challenge everything she believes about herself—and about the humans who hope to save her. Inspired by the true story of a Monterey Bay Aquarium program that pairs orphaned otter pups with surrogate mothers, this poignant and humorous tale told in free verse examines bravery and healing through the eyes of one of nature’s most beloved and charming animals.",Odder,http://books.google.com/books/content?id=7ltHEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
48,Two Degrees,Alan Gratz,Juvenile Fiction,"#1 New York Times bestselling author Alan Gratz (Refugee; Ground Zero) is back, tackling the urgent topic of climate change in this breathtaking, action-packed novel that will keep readers turning pages while making their own plans to better the world. Fire. Ice. Flood. Three climate disasters. Four kids fighting for their lives. Akira is riding her horse in the California woods when a wildfire sparks--and grows scarily fast. How can she make it to safety when there are flames everywhere? Owen and his best friend, George, are used to seeing polar bears on the snowy Canadian tundra. But when one bear gets way too close for comfort, do the boys have any chance of surviving? Natalie hunkers down at home as a massive hurricane barrels toward Miami. When the floodwaters crash into her house, Natalie is dragged out into the storm--with nowhere to hide. Akira, Owen, George, and Natalie are all swept up in the devastating effects of climate change. They are also connected in ways that will shock them--and could alter their destinies forever. Bestselling author Alan Gratz is at the top of his game, shining a light on our increasingly urgent climate crisis while spinning an action-packed story that will keep readers hooked--and inspire them to take action.",Two+Degrees,http://books.google.com/books/content?id=7U9UEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
49,Wonder,R. J. Palacio,Juvenile Fiction,"Auggie Pullman, who was born with extreme facial abnormalities, goes from being home-schooled to entering fifth grade at a private middle school in Manhattan, which entails enduring the taunting and fear of his classmates.",Wonder,http://books.google.com/books/content?id=p5ozDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
50,The Global Refugee Crisis,Stephanie Sammartino McPherson,Young Adult Nonfiction,"According to a UN tally, more than 1 million people fled violence and persecution in 2015. Of these, more than half were children. Thousands died along the way. The Syrian civil war as well as armed conflicts in Nigeria, Afghanistan, Yemen, Somalia, and the Central African Republic contributed to the continuing exodus of people into Europe and North America. Learn more about these modern mass exoduses, what is fueling them in the 21st century, how nations are addressing the crises, how refugees contribute to and strain communities, and what kinds of solutions could help. Along the way, you'll meet actual refugees and the people who are trying to help.",The+Global+Refugee+Crisis,http://books.google.com/books/content?id=UvxzDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
51,The Door of No Return,Kwame Alexander,Juvenile Fiction,"The #1 New York Times bestseller 'At once vivid and simple, lyrical and surgical, expressive and exacting' Lupita Nyong'o Dreams are today’s answers for tomorrow’s questions. Eleven-year-old Kofi Offin has dreams of water, of its urgent whisper that beckons with promises and secrets. He has heard the call on the banks of Upper Kwanta, West Africa, where he lives. He loves these things above all else: his family, the fireside tales of his father’s father, a girl named Ama, and, of course, swimming. But when the unthinkable – a sudden death – occurs during a festival between rival villages, Kofi ends up in a fight for his life. What happens next will send him on a harrowing journey across land and sea, and away from everything he loves. Yet Kofi’s dreams may be the key to his freedom...",The+Door+of+No+Return,http://books.google.com/books/content?id=SlaIEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
52,Dragons Love Tacos,Adam Rubin,Juvenile Fiction,"This scrumptious New York Times bestseller has a whole lot of kick! Dragons love tacos. They love chicken tacos, beef tacos, great big tacos, and teeny tiny tacos. So if you want to lure a bunch of dragons to your party, you should definitely serve tacos. Buckets and buckets of tacos. Unfortunately, where there are tacos, there is also salsa. And if a dragon accidentally eats spicy salsa . . . oh, boy. You're in red-hot trouble. The award-winning team behind Those Darn Squirrels! has created an unforgettable, laugh-until-salsa-comes-out-of-your-nose tale of new friends and the perfect snack.",Dragons+Love+Tacos,http://books.google.com/books/content?id=qAZGZxu_73UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,negative
53,The Day the Crayons Quit,Drew Daywalt,Juvenile Fiction,"The hilarious, colorful #1 New York Times bestselling phenomenon that every kid wants! Gift a copy to someone you love today. Poor Duncan just wants to color. But when he opens his box of crayons, he finds only letters, all saying the same thing: His crayons have had enough! They quit! Blue crayon needs a break from coloring all those bodies of water. Black crayon wants to be used for more than just outlining. And Orange and Yellow are no longer speaking—each believes he is the true color of the sun. What can Duncan possibly do to appease all of the crayons and get them back to doing what they do best? With giggle-inducing text from Drew Daywalt and bold and bright illustrations from Oliver Jeffers, The Day the Crayons Quit is the perfect gift for new parents, baby showers, back-to-school, or any time of year! Perfect for fans of Don't Let the Pigeon Drive the Bus by Mo Willems and The True Story of the Three Little Pigs by Jon Sciezka and Lane Smith. Praise for The Day the Crayons Quit: Amazon’s 2013 Best Picture Book of the Year A Barnes & Noble Best Book of 2013 Goodreads’ 2013 Best Picture Book of the Year Winner of the E.B. White Read-Aloud Award * “Hilarious . . . Move over, Click, Clack, Moo; we’ve got a new contender for the most successful picture-book strike.” –BCCB, starred review “Jeffers . . . elevates crayon drawing to remarkable heights.” –Booklist “Fresh and funny.” –The Wall Street Journal ""This book will have children asking to have it read again and again.” –Library Media Connection * “This colorful title should make for an uproarious storytime.” –School Library Journal, starred review * “These memorable personalities will leave readers glancing apprehensively at their own crayon boxes.” –Publishers Weekly, starred review “Utterly original.” –San Francisco Chronicle",The+Day+the+Crayons+Quit,http://books.google.com/books/content?id=EC3eDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
54,Little Red Sleigh,Erin Guendelsberger,Juvenile Fiction,"A New York Times and USA Today bestseller! Believe in the magic of Christmas with this heartwarming Christmas picture book about the little red sleigh that could, perfect for fans of The Polar Express! The Little Red Sleigh has one big dream—to one day become Santa's big red sleigh! But all her life, she's been told she's too small, she's too young, she can't fly, and she certainly can't meet Santa. Well, this Christmas, with the help of some friends, she's determined to do the impossible. Little Red Sleigh is a heartwarming children's Christmas book you'll want to read again and again. Full of winter joy and holiday magic, this charming Christmas story will remind readers of all ages that no dream is out of reach if you believe. Why readers love Little Red Sleigh: Parents, grandparents, and teachers will have fun reading this inspirational, growth-mindset book to kids Screen-free fun for children during the winter season Ideal Christmas gift and holiday stocking stuffer for kids ages 4-8 Also in the Little Heroes, Big Hearts series: Little Blue Bunny Little Yellow Bus",Little+Red+Sleigh,http://books.google.com/books/content?id=5IMAEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
55,Construction Site on Christmas Night,Sherri Duskey Rinker,Juvenile Fiction,"#1 New York Times Bestselling children's book author Sherri Duskey Rinker A new toddler book and Christmas classic: VROOM and ZOOM into the holidays with this new Christmas classic from the author of the #1 New York Times bestsellers Goodnight, Goodnight, Construction Site and Mighty, Mighty, Construction Site! Construction toys and construction joys: The trucks are gearing up for Christmas by building a special gift! But, there's a surprise waiting for each of them, too! Presents await for Excavator, Bulldozer, Crane, Dump Truck, and Cement Mixer as each finishes their part of this big, important job and rolls off to a sweet and sleepy goodnight. A gift that will delight: Playful rhyming text from the bestselling author of Goodnight, Goodnight, Construction Site and vibrant illustrations from the acclaimed artist AG Ford make this a perfect gift for young construction fans everywhere. If you and your child liked toddler books such as Goodnight Moon, Little Blue Truck, Dragons Love Tacos, Building a House, or The Day the Crayons Quit; you'll love Construction Site on Christmas Night",Construction+Site+on+Christmas+Night,http://books.google.com/books/content?id=SINaDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
56,The Wonderful Things You Will Be,Emily Winfield Martin,Juvenile Fiction,"The New York Times bestseller that celebrates the dreams, acceptance, and love that parents have for their children . . . now and forever. This is the perfect heartfelt gift for any special occasion, from birthdays to graduations, and celebrating new babies and other new beginnings. From brave and bold to creative and clever, Emily Winfield Martin's rhythmic rhyme expresses all the loving things that parents think of when they look at their children. With beautiful, lush illustrations and a stunning gatefold that opens at the end, this is a book that families will love reading over and over. The Wonderful Things You Will Be has a loving and truthful message that will endure for lifetimes and makes a great gift to the ones you love for any occasion.",The+Wonderful+Things+You+Will+Be,http://books.google.com/books/content?id=giiiBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
57,The Sour Grape,Jory John,Juvenile Fiction,"Don’t miss the sixth picture book in the #1 New York Times bestselling Food Group series that’s ripe with humor from Jory John and Pete Oswald! The Sour Grape holds grudges for every reason under the sun. Lime never returned a scarf they borrowed? Grudge! Orange never called back? Grudge! But when a friend holds a grudge against the Sour Grape without listening to an explanation, the Sour Grape realizes how unfair grudges can be. Could a bunch of forgiveness and compassion be enough to turn a sour grape sweet? Jory John and Pete Oswald serve up another heaping plate of laughs and lessons with this empowering, witty, and charming addition to their #1 New York Times bestselling series! Check Out Jory John and Pete Oswald’s other funny bestselling books for kids 4-8 and anyone who wants a laugh: The Bad Seed The Good Egg The Cool Bean The Couch Potato The Smart Cookie The Good Egg Presents: The Great Eggscape! The Bad Seed Presents: The Good, the Bad, the Spooky! The Cool Bean Presents: As Cool As It Gets! That’s What Dinosaurs Do",The+Sour+Grape,http://books.google.com/books/content?id=SCdvEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
58,Little Blue Truck Makes a Friend,Alice Schertle,Juvenile Fiction,"Welcome a new friend to the farm with the #1 New York Times bestselling Little Blue Truck! Beep! Beep! Have you heard the news? There is someone new on the farm! All the animals are curious and cautious about the newcomer—what will he be like? Does he neigh like a horse or oink like a pig? Does he have fur or feathers? Does he swim? Does he fly? Luckily, Blue knows just the thing to help his friends, old and new, feel at home!",Little+Blue+Truck+Makes+a+Friend,http://books.google.com/books/content?id=w8xsEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
59,How to Catch a Unicorn,Adam Wallace,Juvenile Fiction,"The #1 New York Times bestseller! Try to catch one of the world's most elusive mythical creatures—the unicorn—in this enchanting picture book for kids! From the New York Times and USA Today bestselling How to Catch series comes a dazzling new adventure! Filled with zany traps, STEAM concepts, silly rhymes, and lots of rainbow unicorn fun, parents, educators, and young readers alike will delight in this colorful story as the Catch Club Kids are off in the zoo to catch this fantastical beast. Perfect for children ages 4-10, this is the ultimate unicorn gift of the year, great for birthdays, bedtime, or any occasion! Can you catch the unicorn? You'll have to use your brain, So set your traps and prep your team to pet that rainbow mane! Also in the How to Catch Series: How to Catch a Mermaid How to Catch a Dinosaur How to Catch the Tooth Fairy How to Catch a Monster and more!",How+to+Catch+a+Unicorn,http://books.google.com/books/content?id=KAT9DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
60,Diary of a Wimpy Kid (Diary of a Wimpy Kid #1),Jeff Kinney,Juvenile Fiction,"Boys don’t keep diaries—or do they? The launch of an exciting and innovatively illustrated new series narrated by an unforgettable kid every family can relate to It’s a new school year, and Greg Heffley finds himself thrust into middle school, where undersized weaklings share the hallways with kids who are taller, meaner, and already shaving. The hazards of growing up before you’re ready are uniquely revealed through words and drawings as Greg records them in his diary. In book one of this debut series, Greg is happy to have Rowley, his sidekick, along for the ride. But when Rowley’s star starts to rise, Greg tries to use his best friend’s newfound popularity to his own advantage, kicking off a chain of events that will test their friendship in hilarious fashion. Author/illustrator Jeff Kinney recalls the growing pains of school life and introduces a new kind of hero who epitomizes the challenges of being a kid. As Greg says in his diary, “Just don’t expect me to be all ‘Dear Diary’ this and ‘Dear Diary’ that.†? Luckily for us, what Greg Heffley says he won’t do and what he actually does are two very different things. Since its launch in May 2004 on Funbrain.com, the Web version of Diary of a Wimpy Kid has been viewed by 20 million unique online readers. This year, it is averaging 70,000 readers a day. F&P level: T",Diary+of+a+Wimpy+Kid+(Diary+of+a+Wimpy+Kid+#1),http://books.google.com/books/content?id=8MXK_KrHOZYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,neutral
61,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fiction,"'Welcome to the Knight Bus, emergency transport for the stranded witch or wizard. Just stick out your wand hand, step on board and we can take you anywhere you want to go.' When the Knight Bus crashes through the darkness and screeches to a halt in front of him, it's the start of another far from ordinary year at Hogwarts for Harry Potter. Sirius Black, escaped mass-murderer and follower of Lord Voldemort, is on the run - and they say he is coming after Harry. In his first ever Divination class, Professor Trelawney sees an omen of death in Harry's tea leaves... But perhaps most terrifying of all are the Dementors patrolling the school grounds, with their soul-sucking kiss... Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.",Harry+Potter+and+the+Prisoner+of+Azkaban,http://books.google.com/books/content?id=Sm5AKLXKxHgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
62,Percy Jackson and the Olympians: Books I-III,Rick Riordan,Juvenile Fiction,"Humans and half-bloods agree—Percy Jackson and the Olympians is a series fit for heroes! Relive the adventure from the beginning with this eBook set containing the first three books from the best-selling series: The Lighting Thief, The Sea of Monsters, and The Titan's Curse.",Percy+Jackson+and+the+Olympians:+Books+I-III,http://books.google.com/books/content?id=cxhqBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
63,A Good Girl's Guide to Murder,Holly Jackson,Young Adult Fiction,"THE MUST-READ MULTIMILLION BESTSELLING MYSTERY SERIES• Everyone is talking about A Good Girl's Guide to Murder! With shades of Serial and Making a Murderer this is the story about an investigation turned obsession, full of twists and turns and with an ending you'll never expect. Everyone in Fairview knows the story. Pretty and popular high school senior Andie Bell was murdered by her boyfriend, Sal Singh, who then killed himself. It was all anyone could talk about. And five years later, Pip sees how the tragedy still haunts her town. But she can't shake the feeling that there was more to what happened that day. She knew Sal when she was a child, and he was always so kind to her. How could he possibly have been a killer? Now a senior herself, Pip decides to reexamine the closed case for her final project, at first just to cast doubt on the original investigation. But soon she discovers a trail of dark secrets that might actually prove Sal innocent . . . and the line between past and present begins to blur. Someone in Fairview doesn't want Pip digging around for answers, and now her own life might be in danger. And don't miss the sequel, Good Girl, Bad Blood! ""The perfect nail-biting mystery."" --Natasha Preston, #1 New York Times bestselling author",A+GOOD+GIRL'S+GUIDE+TO+MURDER,http://books.google.com/books/content?id=cjPJDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
64,Sunlight on the Snow Leopard,Mary Pope Osborne,Juvenile Fiction,"The #1 bestselling Magic Tree House series is ready to whisk you away through time with Jack and Annie--this time to the snowy mountains of Nepal! The magic tree house takes Jack and Annie to Nepal with a mission to find. . . a ghost! As frightening as that sounds, the mission is clear: find the ghost and save the world. But what does all this have to do with a mountain, an old man, and a snow leopard? The journey is dangerous and the path uncertain, but Jack and Annie can do this -- they're the only ones who can! Did you know that there's a Magic Tree House book for every kid? Magic Tree House: Perfect for readers who are just beginning chapter books Merlin Missions: More challenging adventures for the experienced reader Fact Trackers: Nonfiction companions to your favorite Magic Tree House adventures If you're looking for Merlin Mission #36: Blizzard of the Blue Moon, it was renumbered as part of the rebrand in 2017 as Merlin Mission #8.",MAGIC+TREE+HOUSE,http://books.google.com/books/content?id=-w41EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
65,The Adventures of Captain Underpants,Dav Pilkey,Juvenile Fiction,"George and Harold have created the greatest superhero in the history of their school — and now they're about to bring him to life! MEET CAPTAIN UNDERPANTS! HIS TRUE IDENTITY IS SO SECRET, EVEN HE DOESN'T KNOW WHO HE IS! FIGHTING FOR TRUTH, JUSTICE AND ALL THINGS PRE-SHRUNK AND COTTONY!",CAPTAIN+UNDERPANTS,http://books.google.com/books/content?id=99tGBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
66,The Complete Summer I Turned Pretty Trilogy (Boxed Set),Jenny Han,Young Adult Fiction,"Now an Original Series on Prime Video! Summer love abounds in the New York Times bestselling The Summer I Turned Pretty series, now available in a paperback boxed set—and an original series now streaming on Prime Video! Belly has always lived for the summertime, because summer means all her favorite things: swimming, the beach, and the Fisher boys, Conrad and Jeremiah. For as long as she can remember, she’s shared her summers with the brothers at Cousins Beach. And for as long as she can remember, she’s been in love with Conrad. Then one summer it seems like he might have feelings for her too—but so does Jeremiah. As the summer seasons pass, Belly has to choose between two brothers who love her…and she’ll have to break one of their hearts. This paperback collection of the complete series includes The Summer I Turned Pretty, It’s Not Summer Without You, and We’ll Always Have Summer.",THE+SUMMER+I+TURNED+PRETTY+TRILOGY,http://books.google.com/books/content?id=TC0HmgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,positive
67,The Dragonet Prophecy (Wings of Fire #1),Tui T. Sutherland,Juvenile Fiction,"A thrilling new series soars above the competition and redefines middle-grade fantasy fiction for a new generation!The seven dragon tribes have been at war for generations, locked in an endless battle over an ancient, lost treasure. A secret movement called the Talons of Peace is determined to bring an end to the fighting, with the help of a prophecy -- a foretelling that calls for great sacrifice.Five dragonets are collected to fulfill the prophecy, raised in a hidden cave and enlisted, against their will, to end the terrible war.But not every dragonet wants a destiny. And when the select five escape their underground captors to look for their original homes, what has been unleashed on the dragon world may be far more than the revolutionary planners intended . . .",WINGS+OF+FIRE,http://books.google.com/books/content?id=8rvQvpmeqGMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
