,title,summary,sentiment_BERT,sentiment_RNN,title_gs,description,img,author,genres
86,A Gambling Man,"Aloysius Archer, a World War II veteran, seeks to apprentice with Willie Dash, a private eye, in a corrupt California town.",positive,neutral,A+GAMBLING+MAN,"Aloysius Archer, the straight-talking World War II veteran fresh out of prison, returns in this riveting #1 New York Times bestselling thriller from David Baldacci. The 1950s are on the horizon, and Archer is in dire need of a fresh start after a nearly fatal detour in Poca City. So Archer hops on a bus and begins the long journey out west to California, where rumor has it there is money to be made if you’re hard-working, lucky, criminal—or all three. Along the way, Archer stops in Reno, where a stroke of fortune delivers him a wad of cash and an eye-popping blood-red 1939 Delahaye convertible—plus a companion for the final leg of the journey, an aspiring actress named Liberty Callahan who is planning to try her luck in Hollywood. But when the two arrive in Bay Town, California, Archer quickly discovers that the hordes of people who flocked there seeking fame and fortune landed in a false paradise that instead caters to their worst addictions and fears. Archer’s first stop is a P.I. office where he is hoping to apprentice with a legendary private eye and former FBI agent named Willie Dash. He lands the job, and immediately finds himself in the thick of a potential scandal: a blackmail case involving a wealthy well-connected politician running for mayor that soon spins into something even more sinister. As bodies begin falling, Archer and Dash must infiltrate the world of brothels, gambling dens, drug operations, and long-hidden secrets, descending into the rotten bones of a corrupt town that is selling itself as the promised land—but might actually be the road to perdition, and Archer’s final resting place.",http://books.google.com/books/content?id=-SLuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,David Baldacci,Fiction
87,The Awakening,The first book in the Dragon Heart Legacy series. Breen Kelly travels through a portal in Ireland to a land of faeries and mermaids.,positive,neutral,THE+AWAKENING,"The Awakening (1899) appears in this collection of short stories. Upon publication of the story Chopin's writing was highly praised, but the public was outraged by the content and only one edition was printed. The Awakening was rediscovered in the 1960s, when Chopin was praised for raising feminist questions. The story follows the personal discovery of a married woman of the things she did not even realize she was missing.",http://books.google.com/books/content?id=awYRAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Kate Chopin,Adultery
88,One Step Too Far,The second book in the Frankie Elkin series. Frankie searches for a young man who went missing during a bachelor party camping trip.,positive,neutral,ONE+STEP+TOO+FAR,"The #1 international bestseller reminiscent of After I’m Gone, Sister, Before I Go to Sleep, and The Silent Wife—an intricately plotted, thoroughly addictive thriller that introduces a major new voice in suspense fiction—a mesmerizing and powerful novel that will keep you guessing to the very end. No one has ever guessed Emily’s secret. Will you? A happy marriage. A beautiful family. A lovely home. So what makes Emily Coleman get up one morning and walk right out of her life—to start again as someone new? Now, Emily has become Cat, working at a hip advertising agency in London and living on the edge with her inseparable new friend, Angel. Cat’s buried any trace of her old self so well, no one knows how to find her. But she can't bury the past—or her own memories. And soon, she’ll have to face the truth of what she's done—a shocking revelation that may push her one step too far. . . .",http://books.google.com/books/content?id=G_IYBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Tina Seskis,Fiction
89,Before We Were Yours,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,positive,neutral,BEFORE+WE+WERE+YOURS,"THE BLOCKBUSTER HIT—Over two million copies sold! A New York Times, USA Today, Wall Street Journal, and Publishers Weekly Bestseller “Poignant, engrossing.”—People • “Lisa Wingate takes an almost unthinkable chapter in our nation’s history and weaves a tale of enduring power.”—Paula McLain Memphis, 1939. Twelve-year-old Rill Foss and her four younger siblings live a magical life aboard their family’s Mississippi River shantyboat. But when their father must rush their mother to the hospital one stormy night, Rill is left in charge—until strangers arrive in force. Wrenched from all that is familiar and thrown into a Tennessee Children’s Home Society orphanage, the Foss children are assured that they will soon be returned to their parents—but they quickly realize the dark truth. At the mercy of the facility’s cruel director, Rill fights to keep her sisters and brother together in a world of danger and uncertainty. Aiken, South Carolina, present day. Born into wealth and privilege, Avery Stafford seems to have it all: a successful career as a federal prosecutor, a handsome fiancé, and a lavish wedding on the horizon. But when Avery returns home to help her father weather a health crisis, a chance encounter leaves her with uncomfortable questions and compels her to take a journey through her family’s long-hidden history, on a path that will ultimately lead either to devastation or to redemption. Based on one of America’s most notorious real-life scandals—in which Georgia Tann, director of a Memphis-based adoption organization, kidnapped and sold poor children to wealthy families all over the country—Lisa Wingate’s riveting, wrenching, and ultimately uplifting tale reminds us how, even though the paths we take can lead to many places, the heart never forgets where we belong. Publishers Weekly’s #3 Longest-Running Bestseller of 2017 • Winner of the Southern Book Prize • If All Arkansas Read the Same Book Selection This edition includes a new essay by the author about shantyboat life.",http://books.google.com/books/content?id=w1-UDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Lisa Wingate,Fiction
90,Cruel Winter of the Mountain Man,"The 50th book in the Mountain Man series. Smoke Jensen enlists the townspeople of Salt Lick, Texas, to protect their town from a blizzard and bandits.",positive,neutral,CRUEL+WINTER+OF+THE+MOUNTAIN+MAN,"The 50th Book in the Bestselling Mountain Man Series! A cold day in hell descends upon Texas when mountain man sharpshooter Smoke Jensen pins on a tin star to tackle a wild bunch of bloodthirsty outlaws in this gun-blazing novel from national bestselling authors William W. Johnstone and J.A. Johnstone. Johnstone Country. A Glorious Land. Jonas Madigan is dying. He spent his life taming towns and upholding justice across the west with no regrets. Along the way, Madigan took the measure of good men like Smoke Jensen, who has traveled to Salt Lick, Texas to pay his respects to the lawman. But when bandits gun down the small town’s current marshal—and Smoke sends the killers to Boot Hill—Madigan asks his friend to wear the badge and keep the peace until a permanent replacement is sworn in. Turns out the bandits were members of Bishop’s Mauraders, a twenty-man gang of trigger-happy thieves led by the vicious and venomous Snake Bishop—and they’ve set their sights on Salt Lick. They’re due to arrive at the same time as a monstrous blizzard that’s covering up the countryside. Now, it’s up to Smoke to turn the townspeople into a posse to defend their lives and land from both mother nature and man’s worst nature . . .",http://books.google.com/books/content?id=2oBhEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,William W. Johnstone,Fiction
91,Leopard's Scar,The 14th book in the Leopard series. Desire arises when Meiling uses her strength to save a leopard shifter.,positive,neutral,LEOPARD'S+SCAR,"Animal attraction takes over in this exhilarating Leopard novel from #1 New York Times bestselling author Christine Feehan. The moment Meiling sees Gedeon she knows he’s a leopard shifter—just as she knows she can’t trust him. Meiling doesn’t take chances, life has taught her better than that. So why does she find herself rescuing this deadly, gorgeous man, when she knows she’d be better off leaving him to die? Gedeon is used to women throwing themselves at him, not throwing his injured body over their beautiful, deceptively strong shoulders and carrying him to safety. He might be embarrassed, if he wasn’t so aroused by the very thought of this feisty lotus blossom. As they strike up a working relationship that suits them both, Gedeon starts to rely on Meiling for just about everything. But when her hidden nature rises to the surface, the connection that links them shifts into an all-consuming desire. And neither will escape unmarked. . . .",http://books.google.com/books/content?id=YqZhEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Christine Feehan,Fiction
92,The Cabinet of Dr. Leng,The 21st book in the Pendergast series. Constance Greene travels back in time to prevent the deaths of her siblings.,positive,neutral,THE+CABINET+OF+DR.+LENG,"Preston & Child continue their #1 bestselling series featuring FBI Special Agent Pendergast and Constance Greene, as they cross paths with New York’s deadliest serial killer: Pendergast’s own ancestor…and now his greatest foe. AN INCREDIBLE JOURNEY Astoundingly, Constance has found a way back to the place of her origins: New York City in the late 1800s. She leaps at the chance to return…although it means leaving the present forever. A DESPERATE OPPORTUNITY Constance sets off on a quest to prevent the events that lead to the deaths of her sister and brother. But along the road to redemption, Manhattan’s most infamous serial killer, Dr. Enoch Leng, lies in wait, ready to strike at the slightest provocation. UNIMAGINABLE ODDS Meanwhile, in contemporary New York, Pendergast feverishly searches for a way to reunite with Constance—but will he discover a way back to her before it’s too late?",http://books.google.com/books/content?id=tuZuEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Douglas Preston,Fiction
93,The House of Wolves,"After her father is murdered, Jenny Wolf becomes the head of a powerful family in California.",positive,neutral,THE+HOUSE+OF+WOLVES,"Instant New York Times Bestseller! James Patterson and Mike Lupica are the thriller dream team! Jenny Wolf’s murdered father leaves her in charge of a billion-dollar empire—and a family more ruthless than Succession's Roys and Yellowstone’s Duttons. The Wolfs, the most powerful family in California, have a new head–thirty-six-year-old former high school teacher Jenny Wolf. That means Jenny now runs the prestigious San Francisco Tribune. She also controls the legendary pro football team, the Wolves. And she has a murdered father to avenge—if she can survive the killers all around her. An unforgettable family drama by two writers at the top of their craft.",http://books.google.com/books/content?id=RZ55EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,James Patterson,Fiction
94,Maintenance and Spare Parts Management,"The Duke of Sussex details his struggles with the royal family, loss of his mother, service in the British Army and marriage to Meghan Markle.",positive,neutral,SPARE,"This well-received text, designed for the students of MBA, BTech (Mechanical Engineering and Industrial and Production Engineering) and MTech (Industrial Engineering and Management), has been revised and reorganized in its second edition. The book, divided into six sections, deals with the concepts of core maintenance and related auxiliary functions, core spares issues, related auxiliary spares functions, caselets and policy cases. This research-based study attempts to impart a comprehensive knowledge of maintenance and spare parts management, particularly in the Indian context. Illustrations, tables, caselets, cases and presentation of several topics in A-Z points add pedagogic value to the text.",http://books.google.com/books/content?id=FZ0LudKUcJgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,P. GOPALAKRISHNAN,Technology & Engineering
95,The Nazi Conspiracy,"The story of a Nazi plot to kill President Roosevelt, Joseph Stalin and Winston Churchill.",positive,neutral,THE+NAZI+CONSPIRACY,"INSTANT NEW YORK TIMES BESTSELLER ""An absolute home run! You will never look at WWII the same way again."" —Brad Thor, #1 bestselling author ""Meltzer and Mensch are masters."" —Jon Meacham, author The Soul of America ""A true story that reads like a thriller."" —Alexander S. Vindman, LT. Col., U.S. Army (Ret.) ""An outstanding and memorable reading experience....a true page-turner from beginning to end."" —Bookreporter.com From the New York Times bestselling authors of The First Conspiracy and The Lincoln Conspiracy comes the little-known true story of a Nazi plot to kill FDR, Joseph Stalin, and Winston Churchill at the height of World War II. In 1943, as the war against Nazi Germany raged abroad, President Franklin Roosevelt had a critical goal: a face-to-face sit-down with his allies Joseph Stalin and Winston Churchill. This first-ever meeting of the Big Three in Tehran, Iran, would decide some of the most crucial strategic details of the war. Yet when the Nazis found out about the meeting, their own secret plan took shape—an assassination plot that would’ve changed history. A true story filled with daring rescues, body doubles, and political intrigue, The Nazi Conspiracy details FDR’s pivotal meeting in Tehran and the deadly Nazi plot against the heads of state of the three major Allied powers who attended it. With all the hallmarks of a Brad Meltzer and Josh Mensch page-turner, The Nazi Conspiracy explores the great political minds of the twentieth century, investigating the pivotal years of the war in gripping detail. This meeting of the Big Three changed the course of World War II. Here’s the inside story of how it almost led to a world-shattering disaster.",http://books.google.com/books/content?id=7o9pEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Brad Meltzer,History
96,Straight Shooter,The ESPN analyst recounts the highs and lows of his life and career.,positive,neutral,STRAIGHT+SHOOTER,"America’s most popular sports media figure tells it like it is in this “raw, deeply authentic, and immensely entertaining” (Bob Iger, #1 New York Times bestselling author and CEO of The Walt Disney Company) book, not only dishing out his signature, uninhibited opinions but also revealing the challenges he overcame in childhood as well as at ESPN. Stephen A. Smith has never been handed anything, nor was he an overnight success. Growing up poor in Queens, the son of Caribbean immigrants and the youngest of six children, he was a sports-obsessed kid who faced struggles, from undiagnosed dyslexia to getting enough cereal to fill his bowl. As a basketball player at Winston-Salem State University, he got a glimmer of his true calling when he wrote a newspaper column arguing for the retirement of his own Hall of Fame coach, Clarence Gaines. Smith hustled and rose up from a reporter on the high school beat at Daily News (New York) to a general sports columnist at The Philadelphia Inquirer before getting his own show at ESPN in 2005. After he was unceremoniously fired from the network in 2009, he became even more determined to fight for success. He got himself rehired two years later and, with his razor-sharp intelligence and fearless debate style, found the show he was destined to star in: First Take, the network’s flagship morning program. In Straight Shooter, Smith writes about the greatest highs and deepest lows of his life and career. He gives his thoughts on Skip Bayless, Ray Rice, Colin Kaepernick, the New York Knicks, the Dallas Cowboys, and former President Donald Trump. But he also pulls back the curtain and talks about life beyond the set, sharing authentic stories about his negligent father, his loving mother, being a father himself, his battle with life-threatening COVID-19, and what he really thinks about politics and social issues. He does it all with the same intelligence, humor, and charm that has made him a household name. A provocative and moving “blueprint of tenacity” (Fat Joe), this book is the perfect gift for lovers of sports, television, and anyone who likes their stories delivered straight to the heart.",http://books.google.com/books/content?id=HQF1EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Stephen A. Smith,Biography & Autobiography
97,Master Slave Husband Wife,"In 1848, Ellen Craft, disguised as a disabled white man, and her husband, William, posing as that man’s slave, achieved freedom only to have to flee again.",positive,neutral,MASTER+SLAVE+HUSBAND+WIFE,"One of The New York Times’s 10 Best Books of 2023 New York Times Bestseller Named a best book of 2023 by The New Yorker, Time, NPR, Smithsonian Magazine, Boston, Chicago Public Library, Oprah Daily, and People The remarkable true story of Ellen and William Craft, who escaped slavery through daring, determination, and disguise, with Ellen passing as a wealthy, disabled White man and William posing as “his” slave. In 1848, a year of international democratic revolt, a young, enslaved couple, Ellen and William Craft, achieved one of the boldest feats of self-emancipation in American history. Posing as master and slave, while sustained by their love as husband and wife, they made their escape together across more than 1,000 miles, riding out in the open on steamboats, carriages, and trains that took them from bondage in Georgia to the free states of the North. Along the way, they dodged slave traders, military officers, and even friends of their enslavers, who might have revealed their true identities. The tale of their adventure soon made them celebrities, and generated headlines around the country. Americans could not get enough of this charismatic young couple, who traveled another 1,000 miles criss-crossing New England, drawing thunderous applause as they spoke alongside some of the greatest abolitionist luminaries of the day—among them Frederick Douglass and William Wells Brown. But even then, they were not out of danger. With the passage of an infamous new Fugitive Slave Act in 1850, all Americans became accountable for returning refugees like the Crafts to slavery. Then yet another adventure began, as slave hunters came up from Georgia, forcing the Crafts to flee once again—this time from the United States, their lives and thousands more on the line and the stakes never higher. With three epic journeys compressed into one monumental bid for freedom, Master Slave Husband Wife is an American love story—one that would challenge the nation’s core precepts of life, liberty, and justice for all—one that challenges us even now.",http://books.google.com/books/content?id=LMZ0EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Ilyon Woo,History
98,How to Sell a Haunted House,"After her parents die, Louise encounters more than she expected in dealing with the family home.",positive,neutral,HOW+TO+SELL+A+HAUNTED+HOUSE,"AN INSTANT NEW YORK TIMES BESTSELLER ""Wildly entertaining.""-The New York Times ""Ingenious.""-The Washington Post New York Times bestselling author Grady Hendrix takes on the haunted house in a thrilling new novel that explores the way your past—and your family—can haunt you like nothing else. When Louise finds out her parents have died, she dreads going home. She doesn’t want to leave her daughter with her ex and fly to Charleston. She doesn’t want to deal with her family home, stuffed to the rafters with the remnants of her father’s academic career and her mother’s lifelong obsession with puppets and dolls. She doesn’t want to learn how to live without the two people who knew and loved her best in the world. Most of all, she doesn’t want to deal with her brother, Mark, who never left their hometown, gets fired from one job after another, and resents her success. Unfortunately, she’ll need his help to get the house ready for sale because it’ll take more than some new paint on the walls and clearing out a lifetime of memories to get this place on the market. But some houses don’t want to be sold, and their home has other plans for both of them… Like his novels The Southern Book Club’s Guide to Slaying Vampires and The Final Girl Support Group, How to Sell a Haunted House is classic Hendrix: equal parts heartfelt and terrifying—a gripping new read from “the horror master” (USA Today).",http://books.google.com/books/content?id=h7fWEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Grady Hendrix,Fiction
99,The House in the Pines,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened.",positive,neutral,THE+HOUSE+IN+THE+PINES,"An instant New York Times bestseller! ""This is an absolute, can’t-put-it-down thriller...It’s truly a wild ride that had me flying through chapter after chapter—which I think is the perfect way to kick off your year of reading."" —Reese Witherspoon (Reese’s Book Club Jan ’23 Pick) Armed with only hazy memories, a woman who long ago witnessed her friend’s sudden, mysterious death, and has since spent her life trying to forget, sets out to track down answers. What she uncovers, deep in the woods, is hardly to be believed.... Maya was a high school senior when her best friend, Aubrey, mysteriously dropped dead in front of the enigmatic man named Frank whom they’d been spending time with all summer. Seven years later, Maya lives in Boston with a loving boyfriend and is kicking the secret addiction that has allowed her to cope with what happened years ago, the gaps in her memories, and the lost time that she can’t account for. But her past comes rushing back when she comes across a recent YouTube video in which a young woman suddenly keels over and dies in a diner while sitting across from none other than Frank. Plunged into the trauma that has defined her life, Maya heads to her Berkshires hometown to relive that fateful summer—the influence Frank once had on her and the obsessive jealousy that nearly destroyed her friendship with Aubrey. At her mother’s house, she excavates fragments of her past and notices hidden messages in her deceased Guatemalan father’s book that didn’t stand out to her earlier. To save herself, she must understand a story written before she was born, but time keeps running out, and soon, all roads are leading back to Frank’s cabin.... Utterly unique and captivating, The House in the Pines keeps you guessing about whether we can ever fully confront the past and return home.",http://books.google.com/books/content?id=LpVnEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Ana Reyes,Fiction
100,Hell Bent,The second book in the Alex Stern series. Alex risks her future at Lethe and Yale to get Darlington out of purgatory.,positive,neutral,HELL+BENT,"#1 New York Times Bestseller • Goodreads Choice Award Winner ""A tour de force of suspenseful pacing and empathetic writing."" ―The New York Times ""All hail the queen of dark academia!"" ―NPR Wealth. Power. Murder. Magic. The Ivy League is going straight to hell in the sequel to the smash New York Times bestseller Ninth House from #1 bestselling author Leigh Bardugo. A BEST BOOK OF 2023: Amazon, Barnes & Noble, BookPage, Powell's, and more!! Find a gateway to the underworld. Steal a soul out of hell. A simple plan, except people who make this particular journey rarely come back. But Galaxy “Alex” Stern is determined to break Darlington out of purgatory—even if it costs her a future at Lethe and at Yale. Forbidden from attempting a rescue, Alex and Dawes can’t call on the Ninth House for help, so they assemble a team of dubious allies to save the gentleman of Lethe. Together, they will have to navigate a maze of arcane texts and bizarre artifacts to uncover the societies’ most closely guarded secrets, and break every rule doing it. But when faculty members begin to die off, Alex knows these aren’t just accidents. Something deadly is at work in New Haven, and if she is going to survive, she’ll have to reckon with the monsters of her past and a darkness built into the university’s very walls. Thick with history and packed with Bardugo’s signature twists, Hell Bent brings to life an intricate world full of magic, violence, and all too real monsters.",http://books.google.com/books/content?id=ACplEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Leigh Bardugo,Fiction
101,An Immense World,The Pulitzer Prize–winning science writer explains the sensory perceptions and ways of communication used by a variety of animals.,positive,neutral,AN+IMMENSE+WORLD,"NEW YORK TIMES BESTSELLER • A “thrilling” (The New York Times), “dazzling” (The Wall Street Journal) tour of the radically different ways that animals perceive the world that will fill you with wonder and forever alter your perspective, by Pulitzer Prize–winning science journalist Ed Yong “One of this year’s finest works of narrative nonfiction.”—Oprah Daily ONE OF THE TEN BEST BOOKS OF THE YEAR: The Wall Street Journal, The New York Times, Time, People, The Philadelphia Inquirer, Slate, Reader’s Digest, Chicago Public Library, Outside, Publishers Weekly, BookPage ONE OF THE BEST BOOKS OF THE YEAR: Oprah Daily, The New Yorker, The Washington Post, The Guardian, The Economist, Smithsonian Magazine, Prospect (UK), Globe & Mail, Esquire, Mental Floss, Marginalian, She Reads, Kirkus Reviews, Library Journal The Earth teems with sights and textures, sounds and vibrations, smells and tastes, electric and magnetic fields. But every kind of animal, including humans, is enclosed within its own unique sensory bubble, perceiving but a tiny sliver of our immense world. In An Immense World, Ed Yong coaxes us beyond the confines of our own senses, allowing us to perceive the skeins of scent, waves of electromagnetism, and pulses of pressure that surround us. We encounter beetles that are drawn to fires, turtles that can track the Earth’s magnetic fields, fish that fill rivers with electrical messages, and even humans who wield sonar like bats. We discover that a crocodile’s scaly face is as sensitive as a lover’s fingertips, that the eyes of a giant squid evolved to see sparkling whales, that plants thrum with the inaudible songs of courting bugs, and that even simple scallops have complex vision. We learn what bees see in flowers, what songbirds hear in their tunes, and what dogs smell on the street. We listen to stories of pivotal discoveries in the field, while looking ahead at the many mysteries that remain unsolved. Funny, rigorous, and suffused with the joy of discovery, An Immense World takes us on what Marcel Proust called “the only true voyage . . . not to visit strange lands, but to possess other eyes.” WINNER OF THE ANDREW CARNEGIE MEDAL • FINALIST FOR THE KIRKUS PRIZE • FINALIST FOR THE NATIONAL BOOK CRITICS CIRCLE AWARD • LONGLISTED FOR THE PEN/E.O. WILSON AWARD",http://books.google.com/books/content?id=TdlHEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Ed Yong,Nature
102,Rough Sleepers,The Pulitzer Prize-winning author chronicles Jim O’Connell’s work to provide medical care to Boston’s unhoused population.,positive,neutral,ROUGH+SLEEPERS,"NEW YORK TIMES BESTSELLER • The powerful story of an inspiring doctor who made a difference, by helping to create a program to care for Boston’s homeless community—by the Pulitzer Prize–winning, New York Times bestselling author of Mountains Beyond Mountains “I couldn’t put Rough Sleepers down. I am left in awe of the human spirit and inspired to do better.”—Abraham Verghese, author of Cutting for Stone A BEST BOOK OF THE YEAR: NPR, BookPage, Chicago Public Library Tracy Kidder has been described by The Baltimore Sun as “a master of the nonfiction narrative.” In Rough Sleepers, Kidder tells the story of Dr. Jim O’Connell, a gifted man who invented a community of care for a city’s unhoused population, including those who sleep on the streets—the “rough sleepers.” After Jim O’Connell graduated from Harvard Medical School and was nearing the end of his residency at Massachusetts General, the hospital’s chief of medicine made a proposal: Would he defer a prestigious fellowship and spend a year helping to create an organization to bring health care to homeless citizens? That year turned into O’Connell’s life’s calling. Tracy Kidder spent five years following Dr. O’Connell and his colleagues as they work with thousands of homeless patients, some of whom we meet in this illuminating book. We travel with O’Connell as he navigates the city streets at night, offering medical care, socks, soup, empathy, humor, and friendship to some of the city’s most endangered citizens. He emphasizes a style of medicine in which patients come first, joined with their providers in what he calls “a system of friends.” Much as he did with Paul Farmer in Mountains Beyond Mountains, Kidder explores how Jim O’Connell and a dedicated group of people have improved countless lives by facing and addressing one of American society’s most difficult problems, instead of looking away.",http://books.google.com/books/content?id=5QfaEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Tracy Kidder,Biography & Autobiography
103,A Man Called Ove,A curmudgeon's gruff exterior masks a generosity of spirit; the basis of the film “A Man Called Otto.”,positive,neutral,A+MAN+CALLED+OVE,"Now a major motion picture A Man Called Otto starring Tom Hanks! #1 New York Times bestseller—more than 3 million copies sold! Meet Ove. He’s a curmudgeon—the kind of man who points at people he dislikes as if they were burglars caught outside his bedroom window. He has staunch principles, strict routines, and a short fuse. People call him “the bitter neighbor from hell.” But must Ove be bitter just because he doesn’t walk around with a smile plastered to his face all the time? Behind the cranky exterior there is a story and a sadness. So when one November morning a chatty young couple with two chatty young daughters move in next door and accidentally flatten Ove’s mailbox, it is the lead-in to a comical and heartwarming tale of unkempt cats, unexpected friendship, and the ancient art of backing up a U-Haul. All of which will change one cranky old man and a local residents’ association to their very foundations. Fredrik Backman’s beloved first novel about the angry old man next door is a thoughtful exploration of the profound impact one life has on countless others. “If there was an award for ‘Most Charming Book of the Year,’ this first novel by a Swedish blogger-turned-overnight-sensation would win hands down” (Booklist, starred review).",http://books.google.com/books/content?id=7mtNAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fredrik Backman,Fiction
104,Things We Never Got Over,A runaway bride becomes the guardian of her evil twin's daughter and gets some help from a bad-boy barber.,positive,negative,THINGS+WE+NEVER+GOT+OVER,"THE NEW YORK TIMES BESTSELLER* THE UNMISSABLE TIKTOK SENSATION* OVER 1.6 MILLION COPIES SOLD WORLDWIDE Grumpy, small-town barber + hopelessly romantic runaway bride = great big bust ups, all the tension and lots of steamy encounters! Escaping her seemingly perfect wedding, Naomi Witt arrives in rough-around-the-edges Knockemout, Virginia, running to the rescue of her estranged twin, Tina. Too bad for Naomi her evil twin hasn't changed at all. After helping herself to Naomi's car and cash, Tina leaves her with something unexpected: the 11-year-old niece she didn't know she had. Now she's stuck in town with no job, no plan, no home and a whole lot of extra responsibility. There's a reason local barber Knox doesn't do complications or high-maintenance women, especially not the romantic ones. But since Naomi's life imploded right in front of him, the least he can do is help her out of her jam. And just as soon as she stops getting into trouble, he can leave her alone and get back to his peaceful, solitary life. At least that's the plan, until their lives begin to entwine in ways they never imagined . . . *New York Times bestseller, 18 weeks from October 2022 - February 2023* *With 78.9 million views on #thingswenevergotover as of April 2023* 'I laughed. I cried. I laughed while I cried, and I definitely blushed' Book Addict",http://books.google.com/books/content?id=R1d0EAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Lucy Score,Fiction
105,Sapiens,How Homo sapiens became Earth’s dominant species.,positive,neutral,SAPIENS,"New York Times Bestseller A Summer Reading Pick for President Barack Obama, Bill Gates, and Mark Zuckerberg From a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution—a #1 international bestseller—that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be “human.” One hundred thousand years ago, at least six different species of humans inhabited Earth. Yet today there is only one—homo sapiens. What happened to the others? And what may happen to us? Most books about the history of humanity pursue either a historical or a biological approach, but Dr. Yuval Noah Harari breaks the mold with this highly original book that begins about 70,000 years ago with the appearance of modern cognition. From examining the role evolving humans have played in the global ecosystem to charting the rise of empires, Sapiens integrates history and science to reconsider accepted narratives, connect past developments with contemporary concerns, and examine specific events within the context of larger ideas. Dr. Harari also compels us to look ahead, because over the last few decades humans have begun to bend laws of natural selection that have governed life for the past four billion years. We are acquiring the ability to design not only the world around us, but also ourselves. Where is this leading us, and what do we want to become? Featuring 27 photographs, 6 maps, and 25 illustrations/diagrams, this provocative and insightful work is sure to spark debate and is essential reading for aficionados of Jared Diamond, James Gleick, Matt Ridley, Robert Wright, and Sharon Moalem.",http://books.google.com/books/content?id=FmyBAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Yuval Noah Harari,Science
106,"Thinking, Fast and Slow",When we can and cannot trust our intuitions in making business and personal decisions.,positive,neutral,"THINKING,+FAST+AND+SLOW","Major New York Times bestseller Winner of the National Academy of Sciences Best Book Award in 2012 Selected by the New York Times Book Review as one of the ten best books of 2011 A Globe and Mail Best Books of the Year 2011 Title One of The Economist's 2011 Books of the Year One of The Wall Street Journal's Best Nonfiction Books of the Year 2011 2013 Presidential Medal of Freedom Recipient Kahneman's work with Amos Tversky is the subject of Michael Lewis's The Undoing Project: A Friendship That Changed Our Minds In his mega bestseller, Thinking, Fast and Slow, Daniel Kahneman, the renowned psychologist and winner of the Nobel Prize in Economics, takes us on a groundbreaking tour of the mind and explains the two systems that drive the way we think. System 1 is fast, intuitive, and emotional; System 2 is slower, more deliberative, and more logical. The impact of overconfidence on corporate strategies, the difficulties of predicting what will make us happy in the future, the profound effect of cognitive biases on everything from playing the stock market to planning our next vacation—each of these can be understood only by knowing how the two systems shape our judgments and decisions. Engaging the reader in a lively conversation about how we think, Kahneman reveals where we can and cannot trust our intuitions and how we can tap into the benefits of slow thinking. He offers practical and enlightening insights into how choices are made in both our business and our personal lives—and how we can use different techniques to guard against the mental glitches that often get us into trouble. Winner of the National Academy of Sciences Best Book Award and the Los Angeles Times Book Prize and selected by The New York Times Book Review as one of the ten best books of 2011, Thinking, Fast and Slow is destined to be a classic.",http://books.google.com/books/content?id=ZuKTvERuPG8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Daniel Kahneman,Psychology
